alpha,chi2
1.069469e+00,9.133651e+01
1.069870e+00,9.137710e+01
1.070270e+00,9.141775e+01
1.070671e+00,9.145847e+01
1.071071e+00,9.149925e+01
1.071471e+00,9.154010e+01
1.071872e+00,9.158101e+01
1.072272e+00,9.162197e+01
1.072673e+00,9.166300e+01
1.073073e+00,9.170408e+01
1.073473e+00,9.174522e+01
1.073874e+00,9.178642e+01
1.074274e+00,9.182767e+01
1.074675e+00,9.186898e+01
1.075075e+00,9.191034e+01
1.075475e+00,9.195176e+01
1.075876e+00,9.199322e+01
1.076276e+00,9.203474e+01
1.076677e+00,9.207631e+01
1.077077e+00,9.211792e+01
1.077477e+00,9.215958e+01
1.077878e+00,9.220129e+01
1.078278e+00,9.224305e+01
1.078679e+00,9.228484e+01
1.079079e+00,9.232669e+01
1.079479e+00,9.236857e+01
1.079880e+00,9.241050e+01
1.080280e+00,9.245247e+01
1.080681e+00,9.249448e+01
1.081081e+00,9.253654e+01
1.081481e+00,9.257863e+01
1.081882e+00,9.262075e+01
1.082282e+00,9.266292e+01
1.082683e+00,9.270512e+01
1.083083e+00,9.274736e+01
1.083483e+00,9.278964e+01
1.083884e+00,9.283194e+01
1.084284e+00,9.287429e+01
1.084685e+00,9.291666e+01
1.085085e+00,9.295907e+01
1.085485e+00,9.300151e+01
1.085886e+00,9.304398e+01
1.086286e+00,9.308648e+01
1.086687e+00,9.312901e+01
1.087087e+00,9.317156e+01
1.087487e+00,9.321414e+01
1.087888e+00,9.325675e+01
1.088288e+00,9.329939e+01
1.088689e+00,9.334205e+01
1.089089e+00,9.338474e+01
1.089489e+00,9.342744e+01
1.089890e+00,9.347017e+01
1.090290e+00,9.351293e+01
1.090691e+00,9.355570e+01
1.091091e+00,9.359850e+01
1.091491e+00,9.364131e+01
1.091892e+00,9.368414e+01
1.092292e+00,9.372699e+01
1.092693e+00,9.376986e+01
1.093093e+00,9.381274e+01
1.093493e+00,9.385564e+01
1.093894e+00,9.389856e+01
1.094294e+00,9.394149e+01
1.094695e+00,9.398443e+01
1.095095e+00,9.402739e+01
1.095495e+00,9.407036e+01
1.095896e+00,9.411334e+01
1.096296e+00,9.415633e+01
1.096697e+00,9.419933e+01
1.097097e+00,9.424234e+01
1.097497e+00,9.428536e+01
1.097898e+00,9.432839e+01
1.098298e+00,9.437143e+01
1.098699e+00,9.441447e+01
1.099099e+00,9.445752e+01
1.099499e+00,9.450058e+01
1.099900e+00,9.454363e+01
1.100300e+00,9.458670e+01
1.100701e+00,9.462976e+01
1.101101e+00,9.467283e+01
1.101502e+00,9.471591e+01
1.101902e+00,9.475898e+01
1.102302e+00,9.480205e+01
1.102703e+00,9.484512e+01
1.103103e+00,9.488820e+01
1.103504e+00,9.493127e+01
1.103904e+00,9.497433e+01
1.104304e+00,9.501740e+01
1.104705e+00,9.506046e+01
1.105105e+00,9.510351e+01
1.105506e+00,9.514657e+01
1.105906e+00,9.518961e+01
1.106306e+00,9.523265e+01
1.106707e+00,9.527568e+01
1.107107e+00,9.531870e+01
1.107508e+00,9.536172e+01
1.107908e+00,9.540473e+01
1.108308e+00,9.544772e+01
1.108709e+00,9.549071e+01
1.109109e+00,9.553368e+01
1.109510e+00,9.557664e+01
1.109910e+00,9.561959e+01
1.110310e+00,9.566253e+01
1.110711e+00,9.570546e+01
1.111111e+00,9.574837e+01
1.111512e+00,9.579126e+01
1.111912e+00,9.583414e+01
1.112312e+00,9.587700e+01
1.112713e+00,9.591984e+01
1.113113e+00,9.596267e+01
1.113514e+00,9.600548e+01
1.113914e+00,9.604827e+01
1.114314e+00,9.609103e+01
1.114715e+00,9.613378e+01
1.115115e+00,9.617651e+01
1.115516e+00,9.621921e+01
1.115916e+00,9.626189e+01
1.116316e+00,9.630455e+01
1.116717e+00,9.634718e+01
1.117117e+00,9.638979e+01
1.117518e+00,9.643237e+01
1.117918e+00,9.647493e+01
1.118318e+00,9.651746e+01
1.118719e+00,9.655996e+01
1.119119e+00,9.660244e+01
1.119520e+00,9.664488e+01
1.119920e+00,9.668730e+01
1.120320e+00,9.672968e+01
1.120721e+00,9.677203e+01
1.121121e+00,9.681435e+01
1.121522e+00,9.685664e+01
1.121922e+00,9.689889e+01
1.122322e+00,9.694110e+01
1.122723e+00,9.698328e+01
1.123123e+00,9.702543e+01
1.123524e+00,9.706753e+01
1.123924e+00,9.710960e+01
1.124324e+00,9.715163e+01
1.124725e+00,9.719362e+01
1.125125e+00,9.723557e+01
1.125526e+00,9.727748e+01
1.125926e+00,9.731934e+01
1.126326e+00,9.736117e+01
1.126727e+00,9.740295e+01
1.127127e+00,9.744468e+01
1.127528e+00,9.748637e+01
1.127928e+00,9.752802e+01
1.128328e+00,9.756962e+01
1.128729e+00,9.761117e+01
1.129129e+00,9.765267e+01
1.129530e+00,9.769413e+01
1.129930e+00,9.773553e+01
1.130330e+00,9.777688e+01
